survey,station,latitude,longitude,collection_type,date,time_pst,tidal_stage,depth_m,lab,taxon_original,taxon,kingdom,phylum,class,algal_group,genus,species,organisms_per_ml,cells_per_ml,biovolume_cubic_um_per_ml,gald_um,quality_check,debris
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,Cyclotella sp.,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,450.4,450.4,64878.9,6.5,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,Nitzschia palea,Nitzschia palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,palea,450.4,450.4,64878.9,24.1,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,1801.7,1801.7,259515.8,1.9,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,Drepanochloris nannoselene,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Drepanochloris,nannoselene,1801.7,1801.7,259515.8,4.6,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,cf. Ochromonas sp.,cf. Ochromonas sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,Ochromonas,sp.,450.4,450.4,64878.9,7.4,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,Plagioselmis nannoplanctica,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,nannoplanctica,450.4,450.4,64878.9,10.2,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,900.9,900.9,129757.9,5.6,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,193684.8,403585.1,58131531.1,0.65,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,cf. Chroomonas rosenbergii,Chroomonas coerulea,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Chroomonas,rosenbergii,450.4,450.4,64878.9,9.3,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-05-23,14:29:00,high_slack,0,BSA,cf. Rhodomonas sp.,cf. Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,450.4,450.4,64878.9,14.8,good,high
