Date,Time,Station,SamplingMethod,Depth,Lab,OrigTaxon,Taxon,Kingdom,Phylum,Class,AlgalGroup,DiatomSoftbody,Genus,Species,Units_per_mL,Cells_per_mL,Biovolume_per_mL,PhytoForm,QualityCheck,Debris
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,minutissimum,64.35,64.35,2742.4,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Achnanthidium sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,sp.,128.69,257.39,15774.55,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Aulacoseira cf. alpigena,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Aulacoseira,alpigena,193.04,579.12,52776.29,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,193.04,579.12,289545.94,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,193.04,579.12,138234.84,i,Fragmented BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,450.43,3153.01,1640344.14,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Cymbella turgidula,NA,NA,NA,NA,Diatom,Cymbella,turgidula,64.35,64.35,21117.21,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Encyonema sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Encyonema,sp.,64.35,64.35,24001.03,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Eolimna subminuscula,NA,NA,NA,NA,Diatom,Eolimna,subminuscula,64.35,64.35,5453.87,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,Geissleria decussis,Navigeia decussis,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navigeia,decussis,64.35,64.35,47268.29,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Karayevia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Karayevia,sp.,64.35,64.35,58221.46,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Navicula sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,sp.,64.35,64.35,18429.82,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Navicula tripunctata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,tripunctata,64.35,64.35,76471.77,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Nitzschia cf. agnita,NA,NA,NA,NA,Diatom,Nitzschia,agnita,64.35,64.35,10319.99,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Nitzschia dissipata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,dissipata,193.04,579.12,154203.64,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Nitzschia cf. sigma,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sigma,128.69,257.39,433450.38,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,64.35,64.35,4889.06,i,BrokenDiatoms,low
